candidate_id,source_file,is_synthetic,headline,headline_status,location,location_status,country,region,region_confidence,years_experience,years_experience_status,years_relevant,seniority_level,seniority_title,current_employer,current_employer_tier,current_title,current_tenure_months,approach,feeder_path,strategies,strategies_confidence,sectors,skills_core,skills_all,certifications,languages,highest_degree,institutions,n_roles,n_employment_gaps,completeness,evidence_coverage,extraction_quality,abstentions,needs_human_review,review_reasons,validation_flags,injection_flags,near_duplicate_of,llm_model,cost_usd,schema_version,full_name,full_name_status,email,email_status,phone,phone_status
39fb62eab66a5034,Chen Li (Alex).docx,False,Investment Analyst at Bank of China Hong Kong,verified,Hong Kong,verified,Hong Kong,Asia-Pacific,0.855,4.8,derived,4.2,L3,Analyst,Bank of China,Regional Broker / Other,Investment Analyst,,quantitative,Buy-Side Lateral / Pod Move,Quantitative Research,0.88,Technology; Macro / Rates; Credit; Healthcare,backtesting; gis; machine_learning; portfolio_construction; python,backtesting; gis; machine_learning; portfolio_construction; python; r_lang; statistics; bloomberg; excel; financial_modelling; sql; vba; wind_db,,English (native); Mandarin (native); Cantonese (fluent); Chinese,masters,University of Hong Kong Hong Kong; University of Hong Kong Hong Kong,6,0,1.0,0.864,0.938,0,True,2 timeline/consistency flag(s),first non-internship role starts before the earliest degree completed (2021) -- verify whether the role predates study or the degree year is wrong | duplicate education entry: University of Hong Kong Hong Kong — —,,,,0.0,1.3.0,Chen Li (Alex),verified,Alex_chen2024@gmail.com,verified,+852 65478923,verified
31b604248140fd1b,MARINA SILVA COSTA.docx,False,"Equity Research Analyst August/ at VANGUARD GROUP Boston, USA / London, United Kingdom",verified,United States,verified,United States,Americas,0.756,8.2,derived,8.2,L4,Senior Analyst / Associate,Vanguard,Long-Only / Asset Mgmt,Equity Research Analyst August/,62,fundamental,Consulting (MBB / Strategy),,,Industrials; Technology; Consumer; Communications; Healthcare,financial_modelling,financial_modelling; equity_research; excel; python; r_lang; vba,,English (conversational); Spanish; Portuguese (conversational),mba,"MIT SLOAN SCHOOL OF MANAGEMENT Cambridge, MA, United States",2,1,1.0,0.839,0.94,0,True,evidence coverage below threshold (84%),,,,,0.0,1.3.0,MARINA SILVA COSTA,verified,marina.costa.finance@gmail.com,verified,+44 (785) 429-1673,verified
6af5686564dbbb2a,Marcus Chen-Rodriguez Resume.docx,False,"Healthcare Analyst, Investment Team at Coatue Management New York, NY",verified,United States,verified,United States,Americas,0.96,10.9,derived,7.5,L3,Analyst,Coatue Management,Hedge Fund / PE,"Healthcare Analyst, Investment Team",82,fundamental,IBD Analyst Program,Private Markets / Growth; Credit Long/Short; Equity Long/Short; Multi-Strategy,0.97; 0.76; 0.76; 0.76,Healthcare; Credit; Financial Services,due_diligence,due_diligence; financial_modelling,,,bachelors,"Harvard University Cambridge, MA; Stanford University Summer Program: Healthcare Innovation, Biotechnology Commercialization",4,1,1.0,0.837,0.94,0,True,evidence coverage below threshold (84%) | 1 timeline/consistency flag(s),contact: malformed address (no valid domain): 'rchen@hotmail',,,,0.0,1.3.0,Marcus Chen-Rodriguez,verified,rchen@hotmail,verified,745) 156-1879,verified
3e9b46a397616de2,"Michael Rodriguez, CFA.docx",False,"Analyst, Consumer Internet & Software at Fidelity Asset Management - Boston, MA",verified,United States,verified,United States,Americas,0.96,8.7,derived,5.9,L3,Analyst,Fidelity,Long-Only / Asset Mgmt,"Analyst, Consumer Internet & Software",51,credit,Sell-Side Equity Research,Credit Long/Short; Fixed Income Relative Value,0.97; 0.76,Real Estate; Technology; Credit; Industrials; Consumer; Financial Services,bloomberg; equity_research; excel; financial_modelling,bloomberg; equity_research; excel; financial_modelling; due_diligence; sql; capital_iq; factset; statistics,CFA (charterholder); Series 7,,bachelors,"University of Michigan, Ross School of Business- Ann Arbor, MI May 2017",5,1,1.0,0.84,0.932,0,True,evidence coverage below threshold (84%),,,,,0.0,1.3.0,Michael Rodriguez,verified,mrodriguez84@gmail.com,verified,317.441.1999,verified
7ee7c4909d5aa2dc,Omar El-Hassan 202405.pdf,False,"R&D Front Office Fixed Income team, quantitative development in the pricing at Quantitative Developer - BNP Paribas CIB Paris, France",verified,France,verified,France,Europe / EMEA,0.891,4.2,derived,,L3,Analyst,BNP Paribas,Bulge Bracket,"R&D Front Office Fixed Income team, quantitative development in the pricing",51,quantitative,Quant / Technical Pipeline,Derivatives / Pricing Quant; Fixed Income Relative Value,0.97; 0.76,,csharp; machine_learning; time_series,csharp; machine_learning; time_series; cpp; statistics; backtesting; excel; java; mongodb; python; r_lang; sql,,English; Arabic,masters,Diplôme d'Ingénieur - INSA Lyon France; Master's degree - Universite Lyon France,1,0,1.0,0.824,0.872,2,True,evidence coverage below threshold (82%),,,,,0.0,1.3.0,Omar El-Hassan,verified,o.elhassan15@gmail.com,verified,33678924531,verified
2fe654610aa00d06,Priya Nakamura_sellside_healthcare_RLTM.docx,False,,missing,,missing,India,Asia-Pacific,0.96,12.7,derived,,L3,Analyst,ICICI Securities,Regional Broker / Other,,39,fundamental,Sell-Side Equity Research,,,Healthcare; Macro / Rates; Industrials; Financial Services,,equity_research; financial_modelling,,,mba,Mumbai Institute of Management Studies (MIMS); University of Pune; Thakur College of Commerce; Jai Hind College; Modern High School and Junior College,6,0,0.778,0.881,0.936,1,True,1 timeline/consistency flag(s),missing core field: headline | missing core field: location_current | no usable contact details found -- candidate cannot be reached from this document alone,,,,0.0,1.3.0,Priya Nakamura,verified,,missing,,missing
c0a2c9e2c03785e7,RYAN PATEL - Resume.pdf,False,,missing,United States,verified,United States,Americas,0.96,12.5,derived,0.9,L3,Analyst,"Investment Professional, Generalist - Soft Catalyst & Fundamental Long/short",Unknown,,41,fundamental,IBD Analyst Program,Private Markets / Growth; Equity Long/Short; Event Driven,0.97; 0.88; 0.76,Technology; Consumer; Healthcare; Industrials; Macro / Rates,due_diligence; financial_modelling; portfolio_construction,due_diligence; financial_modelling; portfolio_construction; statistics; alternative_data,,,bachelors,"Columbia Business School, Columbia University New York, NY",6,0,0.889,0.852,0.919,1,False,,missing core field: headline,,,,0.0,1.3.0,RYAN PATEL,verified,ryan.patel0403@gmail.com,verified,+1 (516) 523-3113,verified
8d634b54d8648e8e,Vikram Shah.docx,False,"Investment Analyst at Cinctive Capital Management, New York, NY",verified,United States,verified,United States,Americas,0.96,12.0,derived,12.0,L4,Senior Analyst / Associate,Cinctive Capital,Multi-Manager Pod Shop,Investment Analyst,59,fundamental,Sell-Side Equity Research,Equity Long/Short; Event Driven,0.76; 0.76,Communications; Technology; Industrials; Financial Services,financial_modelling,financial_modelling; equity_research; alternative_data; bloomberg; due_diligence; excel; factset,CFA (charterholder),Mandarin (fluent); Cantonese (conversational),bachelors,"Northwestern University - Kellogg School of Management; Northwestern University - Kellogg School of Management; CFA® Charterholder, CFA Institute: Issued March 2019",5,0,1.0,0.862,0.935,0,False,,,,,,0.0,1.3.0,Vikram Shah,verified,Vshah@gmail.com,verified,267-328-0909,verified
3fab70b8478323b4,Viktor Sharat.docx,False,,missing,,missing,India,Asia-Pacific,0.96,,abstained,,,,,,,,,Industry / Domain Expert,,,Energy; Industrials; Healthcare; Technology; Financial Services; Consumer; Materials,,machine_learning,CFA (charterholder),,mba,"Responsibilities and Achievements: Contributing member of team developing AI-based drug target identification system for precision medicine applications Others: 8 months of research experience at Mumbai Cancer Research Institute (MCRI) as a Research Associate Co-author in research paper entitled ""Machine Learning Applications in Biomarker Discovery for Targeted Cancer Therapy"" published in Journal of Computational Biology and Bioinformatics (ISSN:2456-7891); Represented Mumbai Institute of Management in 6-member team at CFA Institute Research Challenge India Finals; Institute / School; Mumbai Institute of Management Studies and Research; Padmashree Dr.D.Y.Patil Institute of Biotechnology and Bioinformatics, Navi Mumbai; Bharti Vidyapeeth junior college, Navi Mumbai; Don Bosco High School, Navi Mumbai",0,0,0.333,1.0,0.931,2,True,low completeness (33% of core fields) | no employment history could be grounded | experience total could not be derived from verified dates | 1 timeline/consistency flag(s),missing core field: full_name | missing core field: headline | missing core field: location_current | missing core field: employment | missing core field: years_experience | missing core field: seniority | no usable contact details found -- candidate cannot be reached from this document alone,,,,0.0,1.3.0,,missing,,missing,,missing
c3b30be3fbf03368,Zara Al-Rashid.docx,False,Responsibilities at Meridian Research Partners Lead Analyst - Pharmaceuticals and Healthcare,verified,India,verified,India,Asia-Pacific,0.96,10.6,derived,,L3,Analyst,Meridian Research Lead Analyst - Pharmaceuticals AND Healthcare,Unknown,Responsibilities,51,fundamental,Sell-Side Equity Research,,,Healthcare; Financial Services,equity_research,equity_research; bloomberg; excel; factset; refinitiv,MBBS (Medical),German,mba,"Institute; Indian School of Business Management (ISBM), Pune; K.J. Somaiya Medical College, Mumbai; Mithibai College, Mumbai; St. Xavier's High School, Mumbai",5,2,1.0,0.883,0.919,1,True,1 timeline/consistency flag(s),no usable contact details found -- candidate cannot be reached from this document alone,,,,0.0,1.3.0,Dr. Zara Al-Rashid,verified,,missing,,missing
